,,,X,Y,,D,dy,d2y,Inst. Radius,Centr. Acc,Max Vel.,In track,optim angl,MAX VEL,In track
,,,41,205.5125,,1.023744054,216.6422,46.004975,221023.3986,0.016896708,1275.217493,YES,0.098685945,1338.727668,YES
,,,41.5,206.4427875,,1.056141483,221.41155,46.21149883,234889.7417,0.015899238,1314.610693,YES,0.092860187,1380.082784,YES
,,,42,207.4128,,1.091294759,226.2364,46.4268416,249419.8606,0.014973017,1354.661074,YES,0.087450564,1422.127809,YES
,,,42.5,208.4253125,,1.129239373,231.11675,46.65161938,264630.4025,0.014112392,1395.355935,YES,0.08242405,1464.849414,YES
,,,43,209.4831,,1.170006152,236.0526,46.8864482,280537.37,0.013312194,1436.681489,YES,0.077750465,1508.233121,YES
,,,43.5,210.5889375,,1.213621266,241.04395,47.13194413,297156.0415,0.0125677,1478.622864,YES,0.073402218,1552.26332,YES
,,,44,211.7456,,1.2601064,246.0908,47.3887232,314500.8934,0.011874586,1521.164134,YES,0.06935406,1596.923289,YES
,,,44.5,212.9558625,,1.309479026,251.19315,47.65740148,332585.5235,0.011228895,1564.288333,YES,0.065582875,1642.195221,YES
,,,45,214.2225,,1.361752752,256.351,47.938595,351422.5771,0.010627,1607.977491,YES,0.062067486,1688.060247,YES
,,,45.5,215.5482875,,1.416937717,261.56435,48.23291983,371023.6749,0.010065578,1652.212664,YES,0.058788477,1734.498483,YES
,,,46,216.936,,1.47504101,266.8332,48.540992,391399.3459,0.009541579,1696.97398,YES,0.055728038,1781.489064,YES
,,,46.5,218.3884125,,1.536067079,272.15755,48.86342758,412558.9635,0.009052204,1742.240676,YES,0.05286982,1829.010197,YES
,,,47,219.9083,,1.600018129,277.5374,49.2008426,434510.6876,0.008594882,1787.991159,YES,0.050198809,1877.039209,YES
,,,47.5,221.4984375,,1.666894498,282.97275,49.55385313,457261.4113,0.008167249,1834.203051,YES,0.047701203,1925.552611,YES
,,,48,223.1616,,1.736694994,288.4636,49.9230752,480816.7147,0.007767134,1880.853258,YES,0.045364313,1974.526157,YES
,,,48.5,224.9005625,,1.809417192,294.00995,50.30912488,505180.8252,0.007392537,1927.918028,YES,0.043176461,2023.934912,YES
,,,49,226.7181,,1.885057708,299.6118,50.7126182,530356.5847,0.007041617,1975.373021,YES,0.041126897,2073.753326,YES
,,,49.5,228.6169875,,1.96361242,305.26915,51.13417123,556345.4254,0.006712678,2023.193384,YES,0.039205717,2123.955306,YES
,,,50,230.6,,2.045076667,310.982,51.5744,583147.353,0.006404158,2071.35382,YES,0.03740379,2174.514296,YES
,,,50.5,232.6699125,,2.129445411,316.75035,52.03392058,610760.9381,0.006114615,2119.828673,YES,0.035712699,2225.403362,YES
,,,51,234.8295,,2.216713371,322.5742,52.513349,639183.3171,0.005842718,2168.591998,YES,0.034124673,2276.595267,YES
,,,51.5,237.0815375,,2.306875138,328.45355,53.01330133,668410.2004,0.00558724,2217.617652,YES,0.032632539,2328.062565,YES
,,,52,239.4288,,2.399925258,334.3884,53.5343936,698435.8902,0.005347045,2266.879366,YES,0.03122967,2379.777681,YES
,,,52.5,241.8740625,,2.495858308,340.37875,54.07724188,729253.3065,0.005121085,2316.350838,YES,0.02990994,2431.712999,YES
,,,53,244.4201,,2.594668948,346.4246,54.6424622,760854.0212,0.00490839,2366.005803,YES,0.028667684,2483.840951,YES
,,,53.5,247.0696875,,2.696351965,352.52595,55.23067063,793228.3002,0.004708062,2415.818126,YES,0.027497661,2536.134098,YES
,,,54,249.8256,,2.800902302,358.6828,55.8424832,826365.1534,0.004519271,2465.761873,YES,0.026395018,2588.565214,YES
,,,54.5,252.6906125,,2.908315084,364.89515,56.47851598,860252.3919,0.004341247,2515.811395,YES,0.02535526,2641.107372,YES
,,,55,255.6675,,3.018585627,371.163,57.139385,894876.6909,0.004173277,2565.941397,YES,0.024374222,2693.734019,YES
,,,55.5,258.7590375,,3.131709456,377.48635,57.82570633,930223.6601,0.004014699,2616.127019,YES,0.023448042,2746.419056,YES
,,,56,261.968,,3.247682301,383.8652,58.538096,966277.9179,0.0038649,2666.343898,YES,0.022573137,2799.136906,YES
,,,56.5,265.2971625,,3.366500104,390.29955,59.27717008,1003023.172,0.003723312,2716.568237,YES,0.021746181,2851.862588,YES
,,,57,268.7493,,3.488159016,396.7894,60.0435446,1040442.3,0.003589404,2766.776865,YES,0.020964088,2904.571777,YES
,,,57.5,272.3271875,,3.612655389,403.33475,60.83783563,1078517.44,0.003462687,2816.947296,YES,0.020223988,2957.240866,YES
,,,58,276.0336,,3.739985778,409.9356,61.6606592,1117230.078,0.003342703,2867.057777,YES,0.019523216,3009.847021,YES
,,,58.5,279.8713125,,3.870146926,416.59195,62.51263138,1156561.135,0.003229028,2917.08734,YES,0.018859292,3062.368226,YES
,,,59,283.8431,,4.003135764,423.3038,63.3943682,1196491.063,0.003121267,2967.01584,YES,0.018229909,3114.783336,YES
,,,59.5,287.9517375,,4.138949396,430.07115,64.30648573,1236999.933,0.003019053,3016.823994,YES,0.017632922,3167.072105,YES
,,,60,292.2,,4.277585098,436.894,65.2496,1278067.527,0.002922043,3066.49341,YES,0.017066331,3219.215227,YES
,,,60.5,296.5906625,,4.419040302,443.77235,66.22432708,1319673.427,0.002829918,3116.006617,YES,0.016528274,3271.194361,YES
,,,61,301.1265,,4.563312594,450.7062,67.231283,1361797.099,0.002742382,3165.347084,YES,0.016017015,3322.99215,YES
,,,61.5,305.8102875,,4.710399701,457.69555,68.27108383,1404417.984,0.002659157,3214.499233,YES,0.015530935,3374.592244,YES
,,,62,310.6448,,4.860299488,464.7404,69.3443456,1447515.572,0.002579985,3263.448455,YES,0.015068525,3425.979305,YES
,,,62.5,315.6328125,,5.013009944,471.84075,70.45168438,1491069.483,0.002504624,3312.181113,YES,0.014628375,3477.139014,YES
,,,63,320.7771,,5.16852918,478.9966,71.5937162,1535059.542,0.002432849,3360.684541,YES,0.014209171,3528.058078,YES
,,,63.5,326.0804375,,5.326855417,486.20795,72.77105713,1579465.845,0.00236445,3408.947045,YES,0.013809684,3578.72422,YES
,,,64,331.5456,,5.487986985,493.4748,73.9843232,1624268.825,0.00229923,3456.957894,YES,0.013428765,3629.126173,YES
